French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
genre,kind
frère,brother
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
perdu,lost
première,first
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
